Genus,Species,id,Region,Locality,Country,Lat,Long,Pop,DART,Notes,Order no.,collection date,sex,latitude,lat (M),lat (DD),longitude,long (M),long (DD)
Aipysurus,laevis,Al4,Ashmore Reef,,Australia,,,,yes,,DNote21-6332,,,,,,,,
Aipysurus,pooleorum,BD304,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,pooleorum,BD320,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,pooleorum,BD325,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,pooleorum,BD326,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,pooleorum,BD330,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,pooleorum,BD331,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,pooleorum,BD337,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,pooleorum,BD338,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,pooleorum,BD339,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,pooleorum,BD342,Shark Bay,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,tenuis,HybFa01,Broome,,Australia,,,,yes,,DNote22-7151,,,,,,,,
Aipysurus,laevis/tenuis hybrid,HybJ01,Den Blå Plantet,,Denmark,,,,,,DNote22-7151,1/1/2014,,,,,,,
Aipysurus,laevis/tenuis hybrid,HybJ03,Den Blå Plantet,,Denmark,,,,,,DNote22-7151,1/1/2014,,,,,,,
Hydrophis,stokesii,J82337,,,,,,,yes,,DNote21-6332,,,,,,,,
Hydrophis,major,J84471,Gulf of Carpentaria,Groote Eylandt,Australia,,,,failed,low quality,DNote20-5178,,,,,,,,
Hydrophis,major,J87200,Fraser Island,Eurong,Australia,,,,failed,Low quality,DNote20-5178,,,,,,,,
Hydrophis,major,J87202,Fraser Island,Eurong,Australia,,,,yes,,DNote20-5178,,,,,,,,
Hydrophis,major,J88474,Fraser Island,Eurong,Australia,,,,yes,,DNote20-5178,,,,,,,,
Hydrophis,major,J89073,Fraser Island,Eurong,Australia,,,,failed,,DNote20-5178,,,,,,,,
Aipysurus,laevis,KLS0327,Scott Reef,,Australia,,,,yes,,DNote22-7151,12/3/2013,M,14,11.203,-14.18671667,121,47.583,121.79305
Aipysurus,laevis,KLS0339,Scott Reef,,Australia,,,,yes,,DNote21-6332,12/3/2013,F,14,3.28,-14.05466667,121,47.033,121.7838833
Hydrophis,stokesii,KLS0360,Hibernia Reef,,Australia,,,,,,DNote21-6332,15/3/2013,F,11,58.91,-11.98183333,123,20.296,123.3382667
Hydrophis,stokesii,KLS0362,Hibernia Reef,,Australia,,,,yes,,DNote21-6332,15/3/2013,M,11,58.91,-11.98183333,123,20.296,123.3382667
Hydrophis,stokesii,KLS0490,Broome,,Australia,,,,yes,,DNote22-7151,15/5/2014,M,17,59.362,-17.98936667,122,2.801,122.0466833
Hydrophis,stokesii,KLS0527,Broome,,Australia,,,,yes,,DNote22-7151,22/9/2014,,18,0.487,-18.00811667,122,8.715,122.14525
Hydrophis,stokesii,KLS0528,Broome,,Australia,,,,yes,,DNote22-7151,22/9/2014,,18,0.487,-18.00811667,122,9.209,122.1534833
Hydrophis,stokesii,KLS0559,Pilbara,Point Samson,Australia,,,,yes,,DNote22-7151,26/9/2014,,20,25.08,-20.418,117,20.34,117.339
Aipysurus,laevis,KLS0564 R174540,Pilbara,Point Samson,Australia,,,,yes,,DNote22-7151,,,20,26.94,-20.449,117,17.87,117.2978333
Hydrophis,stokesii,KLS0566,Broome,,Australia,,,,yes,,DNote22-7151,28/9/2014,M,17,59.75,-17.99583333,122,2.221,122.0370167
Hydrophis,stokesii,KLS0573,Broome,,Australia,,,,yes,,DNote22-7151,29/9/2014,F,18,3.327,-18.05545,122,12.84,122.214
Hydrophis,stokesii,KLS0604,Broome,,Australia,,,,yes,,DNote22-7151,3/3/2015,,,,,,,
Hydrophis,major,KLS0629,Broome,,Australia,,,,yes,,DNote20-5178,9/6/2015,M,17,58.7,-17.97833333,122,6.4,122.1066667
Hydrophis,major,KLS0630,Broome,,Australia,,,,yes,,DNote20-5178,9/6/2015,M,18,0.1,-18.00166667,122,3.6,122.06
Hydrophis,major,KLS0631,Broome,,Australia,,,,yes,,DNote20-5178,9/6/2015,M,18,0.3,-18.005,122,2.4,122.04
Hydrophis,major,KLS0633,Broome,,Australia,,,,yes,,DNote20-5178,9/6/2015,M,17,58.8,-17.98,122,2.7,122.045
Hydrophis,stokesii,KLS0634,Broome,,Australia,,,,,,DNote22-7151,9/6/2015,M,17,58.4,-17.97333333,122,5.5,122.0916667
Hydrophis,stokesii,KLS0635,Broome,,Australia,,,,yes,,DNote21-6332,9/6/2015,M,17,58,-17.96666667,122,8.1,122.135
Hydrophis,stokesii,KLS0636,Broome,,Australia,,,,yes,,DNote21-6332,9/6/2015,M,17,59.7,-17.995,122,5,122.0833333
Hydrophis,major,KLS0647,Broome,,Australia,,,,yes,,DNote20-5178,10/6/2015,M,18,0.2,-18.00333333,122,2.4,122.04
Hydrophis,major,KLS0652,Broome,,Australia,,,,yes,,DNote20-5178,9/6/2015,M,17,59.6,-17.99333333,122,5.1,122.085
Hydrophis,stokesii,KLS0660,Broome,,Australia,,,,,,DNote22-7151,9/6/2015,JUV,17,58.8,-17.98,122,3,122.05
Hydrophis,major,KLS0662,Broome,,Australia,,,,yes,,DNote20-5178,10/6/2015,JUV,17,59.5,-17.99166667,122,5.9,122.0983333
Hydrophis,stokesii,KLS0675,Broome,,Australia,,,,yes,,DNote22-7151,20/6/2015,subadult,17,59.3,-17.98833333,122,6,122.1
Hydrophis,major,KLS0676,Broome,,Australia,,,,yes,,DNote20-5178,20/6/2015,M,17,59.5,-17.99166667,122,5.2,122.0866667
Hydrophis,stokesii,KLS0677,Broome,,Australia,,,,yes,,DNote22-7151,20/6/2015,M,17,59.7,-17.995,122,5,122.0833333
Hydrophis,stokesii,KLS0678,Broome,,Australia,,,,yes,,DNote22-7151,20/6/2015,M,17,59.7,-17.995,122,5,122.0833333
Hydrophis,stokesii,KLS0679,Broome,,Australia,,,,yes,,DNote22-7151,20/6/2015,M,17,59.8,-17.99666667,122,4.8,122.08
Hydrophis,stokesii,KLS0680,Broome,,Australia,,,,yes,,DNote22-7151,20/6/2015,M,18,0.2,-18.00333333,122,3.3,122.055
Hydrophis,stokesii,KLS0681,Broome,,Australia,,,,yes,,DNote22-7151,20/6/2015,M,18,0.7,-18.01166667,122,1.9,122.0316667
Hydrophis,stokesii,KLS0682,Broome,,Australia,,,,yes,,DNote22-7151,20/6/2015,M,17,59.5,-17.99166667,122,2.7,122.045
Hydrophis,stokesii,KLS0686,Broome,,Australia,,,,yes,,DNote22-7151,20/6/2015,F,17,58.3,-17.97166667,122,8.7,122.145
Hydrophis,stokesii,KLS0687,Broome,,Australia,,,,yes,,DNote22-7151,21/6/2015,F,18,0.6,-18.01,122,2.6,122.0433333
Hydrophis,major,KLS0762,Broome,,Australia,,,,yes,,DNote20-5178,24/9/2016,male,18,2.3,-18.03833333,122,2.4,122.04
Aipysurus,laevis,KLS0793,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,12/4/2017,F,22,3.337,-22.05561667,114,13.386,114.2231
Hydrophis,stokesii,KLS0794,Exmouth Gulf,,Australia,,,,yes,,DNote21-6332,12/4/2017,M,22,3.404,-22.05673333,114,13.487,114.2247833
Hydrophis,stokesii,KLS0795,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,12/4/2017,M,22,3.589,-22.05981667,114,13.143,114.21905
Aipysurus,laevis,KLS0796,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,12/4/2017,F,22,3.696,-22.0616,114,12.945,114.21575
Aipysurus,laevis,KLS0797,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,12/4/2017,F,22,4.063,-22.06771667,114,13.079,114.2179833
Hydrophis,major,KLS0798,Exmouth Gulf,,Australia,,,,yes,,DNote20-5178,13/4/2017,M,22,3.296,-22.05493333,114,13.331,114.2221833
Hydrophis,major,KLS0799,Exmouth Gulf,,Australia,,,,yes,,DNote20-5178,13/4/2017,M,22,3.289,-22.05481667,114,13.506,114.2251
Hydrophis,major,KLS0801,Exmouth Gulf,,Australia,,,,yes,,DNote20-5178,14/4/2017,M,22,6.35,-22.10583333,114,15.7,114.2616667
Hydrophis,stokesii,KLS0804,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,18/4/2017,,,,,,,
Hydrophis,major,KLS0808,Exmouth Gulf,,Australia,,,,yes,,DNote20-5178,19/4/2017,,,,,,,
Hydrophis,major,KLS0813,Exmouth Gulf,,Australia,,,,yes,,DNote20-5178,19/4/2017,,,,,,,
Hydrophis,major,KLS0819,Exmouth Gulf,,Australia,,,,failed,low quality,DNote20-5178,20/4/2017,,,,,,,
Hydrophis,stokesii,KLS0843,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,25/4/2017,,,,,,,
Hydrophis,stokesii,KLS0847,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,26/4/2017,,,,,,,
Aipysurus,laevis,KLS0857,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,3/5/2017,,,,,,,
Hydrophis,stokesii,KLS0858,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,3/5/2017,,,,,,,
Aipysurus,laevis,KLS0871,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,10/5/2017,,,,,,,
Aipysurus,laevis,KLS0872,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,10/5/2017,,,,,,,
Hydrophis,stokesii,KLS0881,Exmouth Gulf,,Australia,,,,,failed qc,DNote21-6332,16/4/2017,M,22,19.233,-22.32055,114,11.548,114.1924667
Hydrophis,stokesii,KLS0881,Exmouth Gulf,,Australia,,,,yes,,DNote22-7151,16/4/2017,M,22,19.233,-22.32055,114,11.55,114.1924667
