file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)
ALA-Al4-2562181.fastq.gz	FASTQ	DNA	1146264	89055483	25	77.7	123	46.0	73.0	123.0	0	103	13	96.30	91.44	24.85	57.62
ALA-HybJ01-2892539.fastq.gz	FASTQ	DNA	1292293	105249532	25	81.4	123	49.0	80.0	123.0	0	110	6	96.44	91.84	25.00	56.44
ALA-HybJ03-2892503.fastq.gz	FASTQ	DNA	1227385	88687278	25	72.3	123	43.0	65.0	103.0	0	90	26	96.80	92.30	25.43	54.29
ALA-KLS0327-2892561.fastq.gz	FASTQ	DNA	1230268	96938209	25	78.8	123	48.0	75.0	123.0	0	104	12	96.43	91.68	24.99	57.04
ALA-KLS0339-2571096.fastq.gz	FASTQ	DNA	652427	49982107	25	76.6	123	44.0	73.0	123.0	0	101	15	97.49	93.11	26.34	55.69
ALA-KLS0564-R174540-2892378.fastq.gz	FASTQ	DNA	1345591	110789269	25	82.3	123	51.0	82.0	123.0	0	110	6	96.89	92.45	25.53	53.42
ALA-KLS0564-R174540-2892568.fastq.gz	FASTQ	DNA	868114	81049862	25	93.4	123	65.0	103.0	123.0	0	123	1	96.61	91.97	25.19	52.75
ALA-KLS0793-2892513.fastq.gz	FASTQ	DNA	1365142	108763722	25	79.7	123	48.0	77.0	123.0	0	105	11	96.33	91.54	24.88	56.45
ALA-KLS0796-2892514.fastq.gz	FASTQ	DNA	1422644	115249696	25	81.0	123	49.0	80.0	123.0	0	108	8	96.21	91.38	24.75	55.84
ALA-KLS0797-2892471.fastq.gz	FASTQ	DNA	1204328	96994057	25	80.5	123	49.0	78.0	123.0	0	107	9	96.39	91.60	24.94	55.54
ALA-KLS0857-2892463.fastq.gz	FASTQ	DNA	1261576	103256162	25	81.8	123	50.0	82.0	123.0	0	110	6	96.50	91.52	25.06	54.42
ALA-KLS0871-2892523.fastq.gz	FASTQ	DNA	1231918	85145808	25	69.1	123	40.0	60.0	96.0	0	86	30	96.27	91.18	24.80	57.58
ALA-KLS0872-2892526.fastq.gz	FASTQ	DNA	1208273	92937232	25	76.9	123	46.0	72.0	123.0	0	100	16	96.70	92.18	25.31	55.42
ALA-KLS1121-2892381.fastq.gz	FASTQ	DNA	1327178	108407655	25	81.7	123	49.0	81.0	123.0	0	112	4	96.58	91.91	25.16	54.30
ALA-KLS1121-2892571.fastq.gz	FASTQ	DNA	1036635	94725058	25	91.4	123	62.0	100.0	123.0	0	123	1	96.70	92.04	25.30	52.62
ALA-KLS1140-2892558.fastq.gz	FASTQ	DNA	1195507	103134168	25	86.3	123	55.0	89.0	123.0	0	123	1	96.46	91.68	25.02	55.84
ALA-KLS1161-2892441.fastq.gz	FASTQ	DNA	1226134	99328701	25	81.0	123	50.0	80.0	123.0	0	108	8	96.83	92.42	25.46	55.03
ALA-KLS1162-2892512.fastq.gz	FASTQ	DNA	1335482	107499873	25	80.5	123	49.0	78.0	123.0	0	108	8	96.38	91.58	24.93	55.22
ALA-KLS1163-2892427.fastq.gz	FASTQ	DNA	1310735	108955575	25	83.1	123	52.0	83.0	123.0	0	111	5	96.35	91.47	24.90	54.47
ALA-KLS1165-2892485.fastq.gz	FASTQ	DNA	1269899	104637300	25	82.4	123	51.0	82.0	123.0	0	111	5	96.06	91.08	24.60	56.28
ALA-KLS1165-2892580.fastq.gz	FASTQ	DNA	1100071	96438545	25	87.7	123	57.0	92.0	123.0	0	123	1	96.25	91.11	24.78	54.95
ALA-KLS1165-2894771.fastq.gz	FASTQ	DNA	1086165	99020978	25	91.2	123	62.0	99.0	123.0	0	123	1	96.60	91.87	25.17	53.38
ALA-KLS1166-2892541.fastq.gz	FASTQ	DNA	1238395	96769973	25	78.1	123	46.0	74.0	123.0	0	103	13	96.39	91.67	24.94	57.44
ALA-KLS1167-2892484.fastq.gz	FASTQ	DNA	1185498	98107760	25	82.8	123	51.0	84.0	123.0	0	113	3	96.72	92.16	25.33	55.05
ALA-KLS1167-2892579.fastq.gz	FASTQ	DNA	1149156	101930018	25	88.7	123	58.0	94.0	123.0	0	123	1	96.59	91.85	25.17	53.21
ALA-KLS1168-2892413.fastq.gz	FASTQ	DNA	1427030	116193911	25	81.4	123	49.0	80.0	123.0	0	110	6	96.23	91.29	24.77	56.72
ALA-KLS1169-2892448.fastq.gz	FASTQ	DNA	1255608	98448171	25	78.4	123	46.0	75.0	123.0	0	105	11	95.55	89.68	24.09	55.42
